note_count_q1,pitch_mean_q1,pitch_std_q1,pitch_range_q1,note_density_q1,interval_mean_q1,stepwise_ratio_q1,unique_pitches_q1,note_count_q2,pitch_mean_q2,pitch_std_q2,pitch_range_q2,note_density_q2,interval_mean_q2,stepwise_ratio_q2,unique_pitches_q2,note_count_q3,pitch_mean_q3,pitch_std_q3,pitch_range_q3,note_density_q3,interval_mean_q3,stepwise_ratio_q3,unique_pitches_q3,note_count_q4,pitch_mean_q4,pitch_std_q4,pitch_range_q4,note_density_q4,interval_mean_q4,stepwise_ratio_q4,unique_pitches_q4,note_count_slope,pitch_mean_slope,pitch_std_slope,pitch_range_slope,note_density_slope,interval_mean_slope,stepwise_ratio_slope,unique_pitches_slope,piece_id,composer,popularity
92,65.29347826086956,11.595105829877067,36,2.830769230769231,13.373626373626374,0.2857142857142857,17,80,63.15,12.861862229086423,41,2.4242424242424243,13.556962025316455,0.0759493670886076,13,84,65.19047619047619,11.25301672830572,36,2.625,11.614457831325302,0.0963855421686747,18,90,65.6,11.550661356726627,36,2.8125,13.49438202247191,0.29213483146067415,17,-0.20000000000001725,0.2960041407867334,-0.174217892023205,-0.5000000000000032,0.014594988344987752,-0.1580237247454558,0.003969781231923213,0.4999999999999966,mozart-the_chelsea_notebook-early_pieces_n5_country_dance,mozart,66
289,64.74740484429066,9.681173638715107,39,3.5460122699386503,11.333333333333334,0.14583333333333334,36,349,66.84813753581662,8.859125301955855,38,4.0,7.301724137931035,0.3103448275862069,31,327,66.38532110091744,9.189717951514762,40,4.012269938650307,10.567484662576687,0.22699386503067484,38,424,68.92216981132076,7.713996040610881,40,4.845714285714286,7.347517730496454,0.2293144208037825,33,38.299999999999955,1.206147846619097,-0.557094014475379,0.4999999999999938,0.3911375985977207,-0.8691686283865004,0.016709229985581525,-0.20000000000000587,mozart-piano_sonatas-nueva_carpeta-k332_piano_sonata_n12_2mov,mozart,59
713,68.06030855539971,10.278206271936178,52,4.72707182320442,8.49438202247191,0.26685393258426965,38,727,67.89408528198074,10.5631554885097,52,4.838602329450915,8.827823691460056,0.2534435261707989,38,740,67.11756756756756,9.410946158425622,45,4.916943521594685,6.629228687415426,0.37753721244925575,41,726,66.3374655647383,10.741151841768772,55,4.80794701986755,8.95448275862069,0.25103448275862067,44,5.199999999999955,-0.5945046686397492,0.02366273794136856,0.19999999999999066,0.032096678213315265,-0.08182927955983145,0.007663533680150939,2.099999999999993,mozart-piano_sonatas-nueva_carpeta-k281_piano_sonata_n03_3mov,mozart,57
1221,67.63636363636364,11.082689184185952,58,3.900958466453674,12.787704918032787,0.13852459016393442,45,1228,66.36319218241043,11.62700776982962,58,3.9485530546623795,12.428687856560718,0.12224938875305623,55,1289,66.17765709852598,10.866647663316582,57,4.114924181963288,11.717391304347826,0.13121118012422361,49,1228,66.24592833876221,11.20971722634157,57,3.917065390749601,11.748166259168704,0.13854930725346373,53,8.19999999999996,-0.4356840976688844,-0.03792759800461915,-0.4000000000000079,0.02146919001886891,-0.3829912528805155,0.0009035942639755083,1.79999999999999,mozart-piano_sonatas-nueva_carpeta-k309_piano_sonata_n10_1mov,mozart,59
753,66.45019920318725,7.77935962758492,36,3.4072398190045248,7.889627659574468,0.25930851063829785,36,745,68.15033557046979,9.287153746956449,46,3.441108545034642,9.096774193548388,0.2271505376344086,41,742,67.94204851752022,9.574259916381688,48,3.435185185185185,10.553306342780028,0.19838056680161945,43,1040,67.20384615384616,9.670772014733195,48,4.814814814814815,9.635226179018288,0.17035611164581327,43,85.7999999999999,0.20526537990270802,0.5961343330870049,3.7999999999999967,0.4216801627581407,0.6693327707563079,-0.02956271678102431,2.299999999999993,mozart-piano_sonatas-piano_sonata_n04_k282,mozart,66
1439,58.17929117442669,10.353707808154962,52,17.765432098765434,9.539638386648122,0.14186369958275383,52,2134,58.569821930646675,9.759216837258636,53,27.098412698412698,9.157993436474449,0.2011251758087201,53,1777,61.78671918964547,10.219927310025975,60,22.49367088607595,10.14358108108108,0.20045045045045046,55,1726,60.41425260718424,10.17092650048422,60,21.243076923076924,9.73391304347826,0.16405797101449276,54,50.39999999999987,0.9921781557271427,-0.008763345024490048,3.0999999999999903,0.5828192660597712,0.15684116150970334,0.006590808893694705,0.799999999999993,mozart-k626_requiem_08_offertorio_domine_jesu,mozart,64
1615,65.73250773993809,11.059659307134112,57,7.83030303030303,11.407063197026023,0.1536555142503098,45,1549,67.58360232408005,10.815383190461098,60,7.519417475728155,10.13888888888889,0.20736434108527133,49,1717,66.53348864298195,10.273978994600677,58,8.33495145631068,10.398018648018647,0.16025641025641027,52,1658,66.77261761158022,10.938011455270868,60,8.029055690072639,10.83946891973446,0.20579360289680146,51,29.699999999999697,0.20702159338281972,-0.09063477514501703,0.6999999999999958,0.14117919598913414,-0.14436530727449512,0.010930633511061381,2.099999999999993,mozart-piano_concertos-piano_concerto_n6_k238_1mov,mozart,57
800,65.3925,13.184211912359418,53,11.764705882352942,13.097622027534419,0.08385481852315395,39,858,63.904428904428904,12.779562061824796,55,12.617647058823529,13.148191365227538,0.061843640606767794,43,900,63.57111111111111,12.378675610764796,58,13.235294117647058,13.767519466073415,0.026696329254727477,38,780,64.9025641025641,12.759541169700244,53,11.304347826086957,12.810012836970476,0.07060333761232349,43,-1.800000000000106,-0.1803125485625592,-0.16748986790375317,0.2999999999999879,-0.07634271099744348,-0.024349947084597156,-0.007490175408453183,0.699999999999994,mozart-k525_serenade_3mov_eine_kleine_natchmusik,mozart,61
535,65.46168224299065,9.533116355653714,49,4.957528957528957,7.404494382022472,0.24531835205992508,41,525,65.84571428571428,9.464973308355981,49,4.89891135303266,7.206106870229007,0.25,40,471,65.45859872611464,10.662447016533331,48,4.364478764478764,8.03191489361702,0.23404255319148937,44,487,64.48049281314168,11.223651753746344,52,4.5197215777262185,8.74074074074074,0.18724279835390947,41,-19.80000000000007,-0.333068384914663,0.6269079902455224,0.799999999999993,-0.1847854727962121,0.48345470995428114,-0.019018410792655756,0.40000000000000036,mozart-piano_sonatas-nueva_carpeta-k279_piano_sonata_n01_3mov,mozart,57
1209,66.20181968569065,11.149364000476863,57,4.3963636363636365,10.301324503311259,0.1870860927152318,45,1129,68.01151461470327,9.115577645462714,45,4.090579710144928,9.131205673758865,0.21808510638297873,41,1193,67.71500419111484,9.73345960575586,53,4.322463768115942,9.318791946308725,0.17701342281879195,47,1332,67.8048048048048,10.996902691473753,56,4.861313868613139,9.233658903080391,0.16754320060105185,52,43.29999999999988,0.45124449337539585,0.01604980332837897,0.4999999999999919,0.16267347547195196,-0.301541052814276,-0.00997003599067267,2.6999999999999957,mozart-piano_sonatas-piano_sonata_n05_k283,mozart,66
