total_notes,duration,pitch_range,pitch_mean,pitch_std,pitch_class_entropy,interval_mean,stepwise_ratio,leap_ratio,unique_durations,duration_std,note_density,contour_change_rate,repetition_ratio,chord_change_rate,chord_change_std,avg_chord_size,avg_vertical_range,chord_pc_entropy,tonic_dominant_ratio,cadence_rate,key_change_rate,modulation_mean,sectional_repetition_ratio,sectional_similarity_mean,piece_id,composer,title,popularity
186,128.0,41,63.155913978494624,12.361334331593218,0.7207666689813678,4.211956521739131,0.483695652173913,0.3423913043478261,3,0.256221623771746,1.453125,0.6451612903225806,0.65625,1.421875,51.480390009746,1.0006510416666667,0.15299479166666666,0.02952507439602108,0.5573770491803278,0.06043956043956044,0.4444444444444444,2.2222222222222223,1.0,0.9684321017657477,mozart-the_chelsea_notebook-early_pieces_n5_country_dance,mozart,the chelsea notebook-early pieces n5 country dance,66
930,324.0,40,65.55806451612904,9.400167446698656,0.8733795357023952,4.307112068965517,0.3545258620689655,0.39655172413793105,18,0.5344326256348028,2.8703703703703702,0.6451612903225806,0.36816720257234725,2.3395061728395063,43.83496298874414,2.0141460905349797,14.0,0.05557300467331131,0.3820816864295125,0.03430079155672823,0.35714285714285715,1.5714285714285714,1.0,0.9682663150771977,mozart-piano_sonatas-nueva_carpeta-k332_piano_sonata_n12_2mov,mozart,piano sonatas-nueva carpeta-k332 piano sonata n12 2mov,59
1256,600.0,50,70.32961783439491,9.097678799293146,0.8760891199212404,3.519968051118211,0.4840255591054313,0.2763578274760383,13,0.3110239719013555,2.0933333333333333,0.6130573248407644,0.22069693769799367,3.2616666666666667,127.49233865823632,1.0034722222222223,0.03902777777777779,0.010636670930706665,0.2997957099080695,0.032192130812468064,0.7368421052631579,2.8421052631578947,1.0,0.9533597552326277,mozart-piano_sonatas-nueva_carpeta-k281_piano_sonata_n03_3mov,mozart,piano sonatas-nueva carpeta-k281 piano sonata n03 3mov,57
3086,1244.0,50,67.53046014257939,10.979908522653268,0.8769929120872262,4.98443579766537,0.3715953307392996,0.41212710765239946,13,0.3386875390093961,2.4807073954983925,0.7550226830848995,0.9670050761421319,2.5643086816720255,226.4140332744451,1.9993301178992495,39.94493569131833,0.01026746788967105,0.2958320275775619,0.02006269592476489,0.46808510638297873,1.851063829787234,1.0,0.9670991602827174,mozart-piano_sonatas-nueva_carpeta-k309_piano_sonata_n10_1mov,mozart,piano sonatas-nueva carpeta-k309 piano sonata n10 1mov,59
2761,867.0,48,67.66352770735242,9.221124480301015,0.8807303411004562,2.7220609579100143,0.638243831640058,0.18541364296081278,15,0.4683205505675378,3.184544405997693,0.6504889532777979,0.34308943089430893,2.3194925028835063,126.66412680731841,1.009515570934256,0.08217993079584775,0.02317487565589778,0.323558648111332,0.022874191944306316,0.5476190476190477,2.4285714285714284,1.0,0.9634623037432548,mozart-piano_sonatas-piano_sonata_n04_k282,mozart,piano sonatas-piano sonata n04 k282,66
6145,317.0,61,59.032221318144835,10.399331566708682,0.9285124426905881,4.208809135399674,0.4551386623164764,0.3125611745513866,10,0.40124938372714763,19.384858044164037,0.4196908055329536,0.14406604747162022,2.7129337539432177,78.25,3.003154574132492,24.085173501577287,0.033071623426392374,0.36469221835075494,0.020930232558139535,0.8210526315789474,2.694736842105263,0.8958333333333334,0.9157878142186165,mozart-k626_requiem_08_offertorio_domine_jesu,mozart,k626 requiem 08 offertorio domine jesu,64
5750,812.0,60,66.03930434782609,10.959714631021349,0.8697032283252752,3.4422373235755357,0.5176860080153337,0.2925596793866527,12,0.43298069191719285,7.08128078817734,0.5900869565217391,0.26698661278100533,2.896551724137931,195.97257956244664,3.9954844006568146,18.05603448275862,0.016574150534574134,0.366340841478963,0.036564625850340135,0.5168539325842697,2.202247191011236,1.0,0.961265542145389,mozart-piano_concertos-piano_concerto_n6_k238_1mov,mozart,piano concertos-piano concerto n6 k238 1mov,57
3098,273.0,58,63.61846352485475,12.765122201262589,0.8455929676839071,3.547279792746114,0.5148963730569949,0.23639896373056996,7,0.16883226476574714,11.347985347985349,0.5771465461588121,0.9813218390804598,2.062271062271062,81.40055980374851,2.011904761904762,16.14835164835165,0.03303856763110967,0.3953900709219858,0.047957371225577264,0.7872340425531915,3.0,1.0,0.9753667270164532,mozart-k525_serenade_3mov_eine_kleine_natchmusik,mozart,k525 serenade 3mov eine kleine natchmusik,61
780,428.0,52,69.2448717948718,8.532068140929416,0.8411722138351296,3.6675224646983313,0.5840821566110398,0.27214377406931967,7,0.26337789647430226,1.8224299065420562,0.4230769230769231,0.45454545454545453,2.871495327102804,113.86016247797822,1.0046728971962617,0.0778816199376947,0.013729971209534356,0.33983739837398375,0.028478437754271765,0.2727272727272727,1.0,0.9166666666666666,0.9401196573664601,mozart-piano_sonatas-nueva_carpeta-k279_piano_sonata_n01_3mov,mozart,piano sonatas-nueva carpeta-k279 piano sonata n01 3mov,57
4047,1093.0,48,68.15665925376823,9.575992054830905,0.8959579783994785,2.6345868381989113,0.6499257793171698,0.16328550222662047,12,0.3321183559967841,3.7026532479414453,0.6743266617247343,0.2614290551981036,2.4419030192131745,217.81876104237907,2.0011436413540715,6.03552912473315,0.011408167814578223,0.37228464419475654,0.040464593480704386,0.3548387096774194,1.4193548387096775,0.9841269841269841,0.9616576164864723,mozart-piano_sonatas-piano_sonata_n05_k283,mozart,piano sonatas-piano sonata n05 k283,66
5636,1238.0,62,63.27111426543648,12.337545853751404,0.8870159060832137,3.7412475564243826,0.540785498489426,0.3006930869024347,15,0.7078638852298581,4.552504038772213,0.5218239886444287,0.15502669039145908,2.4240710823909533,233.22508669540667,2.003500269251481,26.976373182552503,0.010019345039791322,0.2808127914723518,0.021326224591802733,0.5632183908045977,2.2528735632183907,0.9772727272727273,0.9578635119452882,mozart-piano_concertos-piano_concerto_n14_k449_3mov,mozart,piano concertos-piano concerto n14 k449 3mov,57
2674,441.0,63,59.47606581899775,13.161078218650895,0.7978648186448114,3.5963199399173864,0.4806609087495306,0.3124295906871949,9,0.3057859814550949,6.063492063492063,0.4068810770381451,0.975609756097561,1.7664399092970522,138.4902323069914,2.005668934240363,15.121315192743765,0.023894755365078638,0.5679487179487179,0.07958921694480103,0.4146341463414634,1.9268292682926829,1.0,0.9752215189960544,mozart-symphonies-symphony_n36_k425_3mov_linz,mozart,symphonies-symphony n36 k425 3mov linz,62
5850,1745.0,55,66.6165811965812,10.278686295851719,0.915727470140813,2.923182207014542,0.6128314798973482,0.2213857998289136,19,0.44446975600768984,3.35243553008596,0.6305982905982906,0.30459921156373193,2.346704871060172,303.0923243348585,3.996895893027698,11.000811843361987,0.006787680673000612,0.37451171875,0.03907203907203907,0.6222222222222222,2.4,1.0,0.9596429914864789,mozart-piano_sonatas-piano_sonata_n12_k332,mozart,piano sonatas-piano sonata n12 k332,66
6521,657.5,62,59.910289832847724,12.794065674981454,0.8314169296496546,2.2585995085995085,0.7054668304668305,0.1593980343980344,12,0.5828599259890626,9.91787072243346,0.4910289832847723,0.4827981651376147,2.4273764258555133,163.375,1.0072243346007606,24.048669201520912,0.02091684006060088,0.5053224796493425,0.08521303258145363,0.42574257425742573,1.7623762376237624,1.0,0.9693181981085855,mozart-symphonies-symphony_n5_k022,mozart,symphonies-symphony n5 k022,66
